text_eng,text,id,username,elite,centr,left,right
This budget is so lacking in vision.,Dieser Haushalt ist so wenig visionär.,1210701,richter,False,False,False,False
This budget is so lacking in vision.,Dieser Haushalt ist so wenig visionär.,1210701,riedel,False,False,False,False
"The Market Watchdogs, as you know, are supposed to provide the government with meaningful insights into the actual situation of consumers in the financial market and the digital world, and report structural misdevelopments and grievances to the relevant authorities.",Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.,762559,schadt,False,False,False,False
"The Market Watchdogs, as you know, are supposed to provide the government with meaningful insights into the actual situation of consumers in the financial market and the digital world, and report structural misdevelopments and grievances to the relevant authorities.",Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.,762559,coudry,False,False,False,False
"The Market Watchdogs, as you know, are supposed to provide the government with meaningful insights into the actual situation of consumers in the financial market and the digital world, and report structural misdevelopments and grievances to the relevant authorities.",Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.,762559,grabsch,False,False,False,False
"The Market Watchdogs, as you know, are supposed to provide the government with meaningful insights into the actual situation of consumers in the financial market and the digital world, and report structural misdevelopments and grievances to the relevant authorities.",Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.,762559,richter,False,False,False,False
"The Market Watchdogs, as you know, are supposed to provide the government with meaningful insights into the actual situation of consumers in the financial market and the digital world, and report structural misdevelopments and grievances to the relevant authorities.",Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.,762559,riedel,False,False,False,False
They are once again asking ordinary citizens to pay up while sparing the wealthy accounts.,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.,318156,schadt,False,True,True,False
They are once again asking ordinary citizens to pay up while sparing the wealthy accounts.,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.,318156,coudry,True,False,True,False
They are once again asking ordinary citizens to pay up while sparing the wealthy accounts.,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.,318156,grabsch,True,False,False,False
They are once again asking ordinary citizens to pay up while sparing the wealthy accounts.,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.,318156,richter,False,True,True,False
They are once again asking ordinary citizens to pay up while sparing the wealthy accounts.,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.,318156,riedel,True,False,True,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,53262,schadt,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,53262,coudry,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,53262,grabsch,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,53262,richter,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,1235881,riedel,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,1235881,schadt,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,1235881,grabsch,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,1235881,coudry,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,1235881,richter,False,False,False,False
Spectators in the stands and in front of the television screens!,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!,53262,riedel,False,False,False,False
I believe that anyone who does not appreciate this deals cynically with people's concerns.,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um.",757810,riedel,False,False,False,False
I believe that anyone who does not appreciate this deals cynically with people's concerns.,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um.",757810,schadt,False,False,False,False
I believe that anyone who does not appreciate this deals cynically with people's concerns.,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um.",757810,coudry,False,False,False,False
I believe that anyone who does not appreciate this deals cynically with people's concerns.,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um.",757810,grabsch,False,False,False,False
I believe that anyone who does not appreciate this deals cynically with people's concerns.,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um.",757810,richter,False,False,False,False
"Anyone who takes a look around a large company will notice that each department prefers to rely on its own IT systems and, for heaven's sake, does not want to do what everyone else is doing.","Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen.",462809,riedel,False,False,False,False
"Anyone who takes a look around a large company will notice that each department prefers to rely on its own IT systems and, for heaven's sake, does not want to do what everyone else is doing.","Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen.",462809,schadt,False,False,False,False
"Anyone who takes a look around a large company will notice that each department prefers to rely on its own IT systems and, for heaven's sake, does not want to do what everyone else is doing.","Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen.",462809,coudry,False,False,False,False
"Anyone who takes a look around a large company will notice that each department prefers to rely on its own IT systems and, for heaven's sake, does not want to do what everyone else is doing.","Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen.",462809,grabsch,False,False,False,False
"Anyone who takes a look around a large company will notice that each department prefers to rely on its own IT systems and, for heaven's sake, does not want to do what everyone else is doing.","Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen.",462809,richter,False,False,False,False
That is not much more than what we invest from German finances into the World Food Programme.,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken.",1169330,riedel,False,False,False,False
That is not much more than what we invest from German finances into the World Food Programme.,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken.",1169330,schadt,False,False,False,False
That is not much more than what we invest from German finances into the World Food Programme.,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken.",1169330,coudry,False,False,False,False
That is not much more than what we invest from German finances into the World Food Programme.,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken.",1169330,grabsch,False,False,False,False
That is not much more than what we invest from German finances into the World Food Programme.,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken.",1169330,richter,False,False,False,False
"In your call for environmentally friendly new ship constructions, as a Rostock representative, I am completely with you in the interest of all shipyard locations.",Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.,95763,riedel,False,False,False,False
"In your call for environmentally friendly new ship constructions, as a Rostock representative, I am completely with you in the interest of all shipyard locations.",Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.,95763,schadt,False,False,False,False
"In your call for environmentally friendly new ship constructions, as a Rostock representative, I am completely with you in the interest of all shipyard locations.",Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.,95763,grabsch,False,False,False,False
"In your call for environmentally friendly new ship constructions, as a Rostock representative, I am completely with you in the interest of all shipyard locations.",Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.,95763,coudry,False,False,False,False
"In your call for environmentally friendly new ship constructions, as a Rostock representative, I am completely with you in the interest of all shipyard locations.",Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.,95763,richter,False,False,False,False
"With our consumer policy, we truly look beyond the borders of Germany and even Europe.",Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.,433760,riedel,False,False,False,False
"With our consumer policy, we truly look beyond the borders of Germany and even Europe.",Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.,433760,schadt,False,False,False,False
"With our consumer policy, we truly look beyond the borders of Germany and even Europe.",Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.,433760,coudry,False,False,False,False
"With our consumer policy, we truly look beyond the borders of Germany and even Europe.",Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.,433760,grabsch,False,False,False,False
"With our consumer policy, we truly look beyond the borders of Germany and even Europe.",Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.,433760,richter,False,False,False,False
"As members of parliament, we must make it clear through our actions, both here in the House and in our constituencies, that we take our responsibilities very seriously, that we consider and weigh all interests.","Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen.",545475,riedel,False,False,False,False
"As members of parliament, we must make it clear through our actions, both here in the House and in our constituencies, that we take our responsibilities very seriously, that we consider and weigh all interests.","Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen.",545475,schadt,False,False,False,False
"As members of parliament, we must make it clear through our actions, both here in the House and in our constituencies, that we take our responsibilities very seriously, that we consider and weigh all interests.","Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen.",545475,coudry,False,False,False,False
"As members of parliament, we must make it clear through our actions, both here in the House and in our constituencies, that we take our responsibilities very seriously, that we consider and weigh all interests.","Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen.",545475,grabsch,False,False,False,False
"As members of parliament, we must make it clear through our actions, both here in the House and in our constituencies, that we take our responsibilities very seriously, that we consider and weigh all interests.","Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen.",545475,richter,False,False,False,False
Combating old-age poverty and ensuring greater social cohesion are among the most important and urgent tasks in our democratic society.,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft.",10190,riedel,False,False,False,False
Combating old-age poverty and ensuring greater social cohesion are among the most important and urgent tasks in our democratic society.,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft.",10190,schadt,False,False,False,False
Combating old-age poverty and ensuring greater social cohesion are among the most important and urgent tasks in our democratic society.,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft.",10190,coudry,False,False,False,False
Combating old-age poverty and ensuring greater social cohesion are among the most important and urgent tasks in our democratic society.,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft.",10190,grabsch,False,False,False,False
Combating old-age poverty and ensuring greater social cohesion are among the most important and urgent tasks in our democratic society.,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft.",10190,richter,False,False,False,False
"To further enhance this significance and impact and to provide citizens with the opportunity for democratic participation, I ask you to promote petitions to the German Bundestag in your constituencies as well.","Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben.",740944,riedel,False,False,False,False
"To further enhance this significance and impact and to provide citizens with the opportunity for democratic participation, I ask you to promote petitions to the German Bundestag in your constituencies as well.","Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben.",740944,schadt,False,False,False,False
"To further enhance this significance and impact and to provide citizens with the opportunity for democratic participation, I ask you to promote petitions to the German Bundestag in your constituencies as well.","Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben.",740944,grabsch,False,False,False,False
"To further enhance this significance and impact and to provide citizens with the opportunity for democratic participation, I ask you to promote petitions to the German Bundestag in your constituencies as well.","Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben.",740944,coudry,False,False,False,False
"To further enhance this significance and impact and to provide citizens with the opportunity for democratic participation, I ask you to promote petitions to the German Bundestag in your constituencies as well.","Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben.",740944,richter,False,False,False,False
That we are acting as a coalition and have care on our radar is something we demonstrate not just today.,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute.",1225113,riedel,False,False,False,False
That we are acting as a coalition and have care on our radar is something we demonstrate not just today.,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute.",1225113,schadt,False,False,False,False
That we are acting as a coalition and have care on our radar is something we demonstrate not just today.,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute.",1225113,coudry,False,False,False,False
That we are acting as a coalition and have care on our radar is something we demonstrate not just today.,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute.",1225113,grabsch,False,False,False,False
That we are acting as a coalition and have care on our radar is something we demonstrate not just today.,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute.",1225113,richter,False,False,False,False
Rural areas make an indispensable contribution to the overall economic development of Germany.,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.,821581,riedel,False,False,False,False
Rural areas make an indispensable contribution to the overall economic development of Germany.,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.,821581,schadt,False,False,False,False
Rural areas make an indispensable contribution to the overall economic development of Germany.,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.,821581,grabsch,False,False,False,False
Rural areas make an indispensable contribution to the overall economic development of Germany.,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.,821581,coudry,False,False,False,False
Rural areas make an indispensable contribution to the overall economic development of Germany.,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.,821581,richter,False,False,False,False
The fact that we now have the opportunity to discuss and approve two budgets in almost half a year is something that hopefully most of us will not experience too often in our political careers.,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben.",1084296,riedel,False,False,False,False
The fact that we now have the opportunity to discuss and approve two budgets in almost half a year is something that hopefully most of us will not experience too often in our political careers.,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben.",1084296,schadt,False,False,False,False
The fact that we now have the opportunity to discuss and approve two budgets in almost half a year is something that hopefully most of us will not experience too often in our political careers.,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben.",1084296,coudry,False,False,False,False
The fact that we now have the opportunity to discuss and approve two budgets in almost half a year is something that hopefully most of us will not experience too often in our political careers.,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben.",1084296,grabsch,False,False,False,False
The fact that we now have the opportunity to discuss and approve two budgets in almost half a year is something that hopefully most of us will not experience too often in our political careers.,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben.",1084296,richter,False,False,False,False
"This Berlin was already a special place 100 years ago, somewhat restless, dotted with the occasional political mine, and quite contradictory.","Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich.",1231966,riedel,False,False,False,False
"This Berlin was already a special place 100 years ago, somewhat restless, dotted with the occasional political mine, and quite contradictory.","Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich.",1231966,schadt,False,False,False,False
"This Berlin was already a special place 100 years ago, somewhat restless, dotted with the occasional political mine, and quite contradictory.","Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich.",1231966,coudry,False,False,False,False
"This Berlin was already a special place 100 years ago, somewhat restless, dotted with the occasional political mine, and quite contradictory.","Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich.",1231966,grabsch,False,False,False,False
"This Berlin was already a special place 100 years ago, somewhat restless, dotted with the occasional political mine, and quite contradictory.","Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich.",1231966,richter,False,False,False,False
We need to make a better offer to these people.,Diesen Menschen müssen wir ein besseres Angebot machen.,407791,riedel,False,False,False,False
We need to make a better offer to these people.,Diesen Menschen müssen wir ein besseres Angebot machen.,407791,schadt,False,False,False,False
We need to make a better offer to these people.,Diesen Menschen müssen wir ein besseres Angebot machen.,407791,coudry,False,False,False,False
We need to make a better offer to these people.,Diesen Menschen müssen wir ein besseres Angebot machen.,407791,grabsch,False,False,False,False
We need to make a better offer to these people.,Diesen Menschen müssen wir ein besseres Angebot machen.,407791,richter,False,False,False,False
I call on the federal government to take bold steps and make decisive decisions in this regard.,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.,365758,riedel,False,False,False,False
I call on the federal government to take bold steps and make decisive decisions in this regard.,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.,365758,schadt,False,False,False,False
I call on the federal government to take bold steps and make decisive decisions in this regard.,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.,365758,grabsch,False,False,False,False
I call on the federal government to take bold steps and make decisive decisions in this regard.,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.,365758,coudry,False,False,False,False
I call on the federal government to take bold steps and make decisive decisions in this regard.,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.,365758,richter,False,False,False,False
"As an assembly line worker and trade unionist, I also appeal to the integrity of our companies.",Als Fließbandarbeiter und Gewerkschafter appelliere ich aber auch an die Redlichkeit unserer Unternehmen.,735078,riedel,False,False,False,False
